_id,name,ClausesCategories
47,Residential Lease,"['Intro Text', 'Lease Grant', 'Permitted Use of Premise', 'Prohibited Use of Premise', 'Hazardous Materials', 'Rent', 'Security Deposit', 'Payment', 'Taxes', 'Late Payment', 'Non-Delivery Of Possession', 'Term', 'Representations', 'Brokers', 'Radon Gas Disclosure', 'Maintenance And Repairs', 'Alterations And Improvements', 'Utilities', 'Rules And Regulations', 'Recordation', 'Keys', 'Signs', 'Pets', 'Parking', 'Quiet Enjoyment', 'Right of Inspection', 'Transfer, Assignment, and Subletting', 'Insurance', 'Damage Or Destruction', 'Condemnation', 'Default', 'Abandonment', 'Termination', 'Surrender Of Premises', 'Subordination', 'Holding Over', 'Indemnification', 'Definitions', 'General Provisions', 'Notice', 'Binding Effect', 'Governing Law', 'No Waiver', 'Severability', 'Interpretation', 'Attorney Fees', 'Enitre Agreement', 'Amendment', 'End Text']"
48,Retirement Agreement,"['Intro Text', 'Retirement', 'Retirement Benefits', 'Consulting Services', 'General Release', 'Confidentiality Obligations', 'Non-Disclosure of Agreement', 'Return Of Property', 'Non-Competition', 'Non-Solicitation', 'Non-Disparagement', 'Cooperation', 'Expenses', 'Tax Withholding', 'Indemnification', '409A', 'Revocation', 'Definitions', 'General Provisions', 'Entire Agreement', 'Severability', 'Counterparts', 'Amendments', 'Successors And Assigns', 'Notices', 'Alternate Dispute Resolution', 'Governing Law', 'Equitable Relief', 'No Waiver', 'Interpretation', 'No Admissions', 'Acknowledgment', 'Ending Text']"
49,Severance Agreement,"['Intro Text', 'Bargain (Exchange of Obligations)', 'Release', 'Severance Benefits', 'Withholding And Taxes', 'Term', 'At-Will Employment', 'Older Workers Benefit Protection Act', 'Revocation', 'Section 280', 'Code Section 409A', 'Unsecured Obligation', 'No Admission', 'Confidentiality', 'Non-Disclosure of Agreement', 'Termination', 'No Duty to Mitigate', 'Arbitration', 'Cooperation', 'Definitions', 'General Provisions', 'Entire Agreement', 'Counterparts', 'Severability', 'Amendment', 'Successors And Assigns', 'Notice', 'Governing Law', 'Waiver', 'Waiver of Jury Trial', 'Interpretation', 'Acknowledgements', 'No Right To Employment', 'No Reliance', 'Erisa Plan', 'Ending Text']"
50,Software as a Service Agreement,"['Intro Text', 'Term', 'Software Service', 'Support Services', 'Service Levels', 'Data Protection', 'Data Privacy', 'Data Breach', 'Confidentiality', 'Publicity', 'Subscription Fees', 'Restricted Uses', 'Export Compliance', 'Intellectual Property', 'Insurance', 'Termination', 'Effect of Termination', 'Indemnification', 'Limitation on Liability', 'General Provisions', 'Entire Agreement', 'Amendment', 'Assignment', 'Notices', 'Governing Law', 'Severability', 'Waiver', 'Force Majeure', 'End Text']"
51,Software as a Service Agreement (with data protections),"['Intro Text', 'Term', 'Software Service', 'Support Services', 'Service Levels', 'Subscription Fees', 'Restricted Uses', 'Mutual Representations', 'Confidentiality', 'Data Protection', 'Data Privacy', 'Data Breach', 'Publicity', 'Intellectual Property', 'Feedback', 'Statistical Information', 'Insurance', 'Compliance with Law', 'Termination', 'Effect of Termination', 'Indemnification', 'Limitation on Liability', 'General Provisions', 'Entire Agreement', 'Amendment', 'Assignment', 'Notices', 'Governing Law', 'Severability', 'Waiver', 'Force Majeure']"
52,Software Development Agreement,"['Intro Text', 'Development Services', 'Specifications', 'Development', 'Delivery', 'Acceptance', 'Training', 'Support And Maintenance', 'Change In Specifications', 'Fees', 'Payment of Fees', 'Taxes', 'Late Payments', 'Term', 'Performance Warranty', 'No Infringement', 'No Open Source', 'Warranty Disclaimer', 'Exclusions', 'Proprietary Rights', 'Assignment Of Rights', 'Confidentiality', 'Liability Insurance', 'Source Code Escrow', 'Termination', 'Effect Of Termination', 'Return of Property', 'Indemnification', 'Limitation Of Liability', 'Definitions', 'General Provisions', 'Entire Agreement', 'Counterparts', 'Amendment', 'Assignment', 'Independent Contractor', 'Successors', 'Notices', 'Dispute Resolution', 'Governing Law', 'Force Majeure', 'No Waiver', 'Severability', 'Headings', 'Ending Text']"
53,Software Escrow Agreement,"['Intro Text', 'Deposit Of Escrow Materials', 'Modification Of Escrow Materials', 'Release Of Escrow Materials', ""Escrow Agent's Duties"", 'Verification Of Escrow Materials', 'Escrow Fees', 'Payment Terms', 'Taxes', 'Late Payment', 'Term', 'Representations And Warranties', 'Intellectual Property Rights', 'Confidentiality', 'Termination', 'Indemnity', ""Escrow Agent's Liability"", 'Definitions', 'General Provisions', 'Entire Agreement', 'Counterparts', 'Assignment', 'Severability', 'Governing Law', 'Force Majeure', 'Interpretation', 'Notice', 'End Text']"
54,Software License Agreement,"['Intro Text', 'License Grant', 'Delivery', 'Support Services', 'Maintenance And Updates', 'License Fees', 'Payments', 'Taxes', 'Late Payments', 'User Obligations', 'Restricted Uses', 'Permitted Uses', 'Term', 'Representations', 'Warranties', 'Ownership', 'Government Use', 'Consent To Use Of Data', 'Compliance With Laws', 'Export', 'Source Code Escrow', 'Confidentiality', 'Publicity', 'Termination', 'Effect Of Termination', 'Return of Property', 'Indemnification', 'Limitation Of Liability', 'Definitions', 'General Provisions', 'Entire Agreement', 'Counterparts', 'Amendment', 'Relationship Of The Parties', 'Assignment', 'Notices', 'Governing Law', 'Arbitration', 'Injunctive Relief', 'Waiver', 'Force Majeure', 'Severability', 'Survival', 'Headings', 'Attorneys Fees', 'Ending Text']"
55,Statement of Work,"['Intro Text', 'Overview', 'Staffing Plan And Project Schedule', 'Personnel', 'Supplier Tasks And Responsibilities, Deliverables/Milestones', 'Client Tasks And Responsibilities', 'Project Management', 'Change Management Process', 'Completion Criteria And Acceptance/Rejection Process', 'Fees', 'Payment', 'Expenses', 'Security', 'Ending Text']"
56,Stock Grant Agreement,"['Intro Text', 'Award of Shares', 'Consideration', 'Grant Date', 'Legends', 'Governing Law', 'Assignment', 'Entire Agreement', 'End Text']"
57,Subcontract Agreement,"['Intro Text', 'Contract Documents', 'Scope Of Work', 'Assignment', 'Contract Price', 'Payment', 'Subcontractor Personnel', 'Term', 'Warranty', 'Intellectual Property', 'Relationship Of The Parties', 'Confidentiality', 'Data Protection', 'Compliance With Law', 'Insurance', 'Bonds', 'Liens', 'Termination', 'Indemnity', 'Limitation Of Liability', 'General Provisions', 'Entire Agreement', 'Modifications', 'Counterparts', 'Notices', 'Dispute Resolution', 'Governing Law', 'Waiver', 'Severability', 'Force Majeure', 'Ending Text']"
58,Sublease,"['Intro Text', 'Definitions', 'Sublease', ""Landlord's Consent"", 'Permitted Use of Premise', 'Prohibited Use of Premise', 'Acceptance of Premise', 'Rent', 'Security Deposit', 'Payment', 'Survival Of Payment Obligations', 'Taxes', 'Late Charges', 'Lease Agreement', 'Term', 'Utilities And Services', 'Repair And Maintenance', 'Representations', 'Alterations And Improvements', 'Assignment And Subletting', 'Insurance', 'Waiver Of Subrogation', 'Brokers', 'Personal Property', 'Signs', 'Right of Inspection', 'Rules And Regulations', 'Quiet Enjoyment', 'Parking', 'Right Of First Offer To Sublease', 'Casualty And Eminent Domain', 'Events Of Default', 'Remedies', 'Limitation Of Liability', 'Indemnity', 'Surrender Of Subleased Premises', 'Holding Over', 'General Provisions', 'Notices', 'Assignment', 'Governing Law', 'Waiver Of Jury Trial', 'No Waiver', 'Severability', 'Interpretation', ""Attorneys' Fees"", 'Entire Agreement', 'Counterparts', 'Amendments', 'Further Assurances', 'End Text']"
59,Subscription Agreement,"['Intro Text', 'Subscription', 'Professional Services', 'Free Trial', 'Fees', 'Payment', 'Taxes', 'Term', 'Representations', 'Warranties', 'Service Levels', 'Customer Support', 'Publicity', 'Customer Data', 'Security', 'Late Payment', 'Compliance With Law', 'Export', 'Confidentiality', 'Ownership', 'Termination', 'Suspension Of Service', 'Effect Of Termination', 'Indemnification', 'Limitation Of Liability', 'Definitions', 'General Provisions', 'Entire Agreement', 'Amendments', 'Counterparts', 'Assignment', 'Independent Contractors', 'Third Party Beneficiaries', 'Notices', 'Severability', 'Waiver', 'Force Majeure', 'Governing Law', 'Dispute Resolution', 'Attorney Fees', 'Interpretation', 'Ending Text']"
60,Subscription Agreement (11-05-2019),"['Intro Text', 'Term', 'Grant of License to Access and Use Service', 'Support Services', 'Service Levels', 'Data Protection', 'Data Privacy', 'Confidentiality Obligations', 'Fees', 'Customer Restrictions', 'Termination', 'Effect of Termination', 'Indemnification', 'Limitation on Liability', 'General Provisions', 'Entire Agreement', 'Amendment', 'Assignment', 'Notices', 'Governing Law', 'Severability', 'Waiver', 'Force Majeure']"
61,Subscription Agreement (484633),"['Term', 'Grant of License to Access and Use Service', 'Support Services', 'Service Levels', 'Data Protection', 'Data Privacy', 'Confidentiality Obligations', 'Fees', 'Customer Restrictions', 'Termination', 'Effect of Termination', 'Indemnification', 'Exclusive Remedy', 'Limitation on Liability', 'General Provisions', 'Entire Agreement', 'Amendment', 'Assignment', 'Notices', 'Governing Law', 'Severability', 'Waiver', 'Force Majeure']"
62,Supply Agreement,"['Intro Text', 'Supply', 'Orders', 'Forecasts', 'Delivery', 'Quality', 'Inspection', 'Acceptance', 'Recalls', 'Trademarks', 'Pricing', 'Payment', 'Term', 'Representation And Warranties', 'Warranty Disclaimer', 'Title And Risk Of Loss', 'Intellectual Property', 'Confidentiality', 'Compliance With Laws', 'Regulatory Matters', 'Termination', 'Effect Of Termination', 'Indemnification', 'Limitation Of Liability', 'General', 'Entire Agreement', 'Further Actions', 'Amendment', 'Assignment', 'No Partnership', 'No Third-Party Beneficiaries', 'Notices', 'Remedies Cumulative', 'Survival', 'Severability', 'Waiver', 'Dispute Resolution', 'Governing Law', 'Waiver Of Jury Trial', ""Attorneys' Fees"", 'Construction', 'Force Majeure', 'Headings', 'Publicity', 'Counterparts', 'Ending Text']"
63,Takedown Notice,"['Introduction', 'Official Dmca Notice', 'Identification Of Copyrighted Works', 'Identification Of Infringing Material', 'Statement Of Good Faith Belief', 'Removal Request', 'Response Request']"
64,Trademark License Agreement,"['Intro Text', 'License Grant', 'License Fees', 'Term', 'Use Of Trademarks', 'Quality Control', 'Insurance', 'Accounts And Records', 'Termination', 'Effect Of Termination', 'Remedies', 'Indemnification', 'General Provisions', 'Entire Agreement', 'Counterparts', 'Amendment', 'Assignment', 'Third Party Beneficiaries', 'Notices', 'Dispute Resolution', 'Governing Law', 'Survival', 'Waiver', 'Force Majeure', 'Severability', 'Headings', 'Attorneys Fees']"
65,Website Terms of Service,"['Acceptance Of Terms Of Use', 'Changes To Terms Of Use', 'Your Account', 'Account Security', 'License', 'Paid Services', 'Intellectual Property Rights', 'User Conduct', 'User Content', 'Third Party Content', 'Links', 'Privacy', 'Copyright Policy', 'Trademarks', 'Promotions', 'Termination', 'Disclaimers', 'Limitation Of Liability', 'Indemnification', 'Arbitration', 'Feedback', 'General Provisions', 'Governing Law', 'Assignment', 'Notices', 'Waiver', 'Severability', 'Entire Agreement']"
